TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;VL_PATRIM_LIQ
FI;00.598.452/0001-17;MB MASTER REFERENCIADO DI LONGO PRAZO FUNDO DE INVESTIMENTO FINANCEIRO;2021-06-30;32906028.88
FI;00.601.692/0001-23;FAMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DE AÇÕES;2021-06-30;276864209.61
FI;00.743.026/0001-20;BANRISUL VIP FUNDO DE INVESTIMENTO RENDA FIXA DE LONGO PRAZO;2021-06-30;79438985.22
FI;00.756.851/0001-69;BB RENDA FIXA REFERENCIADO DI ÁGIL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2021-06-30;6787644774.59
FI;00.777.815/0001-81;BRADESCO H FICFI RENDA FIXA REFERENCIADO DI LONGO PRAZO FUNCIONÁRIO;2021-06-30;202239473.32
FI;00.785.365/0001-79;ITAÚ MONEY MARKET RENDA FIXA - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2021-06-30;52882813.72
FI;00.793.947/0001-05;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA VÊNUS;2021-06-30;80260851.28
FI;00.807.777/0001-62;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO CRÉDITO PRIVADO;2021-06-30;268536974.67
FI;00.809.773/0001-13;BRADESCO H FICFI RENDA FIXA CURTO PRAZO OVER;2021-06-30;81228938.29
FI;00.812.433/0001-41;BNB AUTOMÁTICO FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO;2021-06-30;1888615480.56
FI;00.813.340/0001-31;SANTANDER FIC FI EXTRA RENDA FIXA REFERENCIADO DI;2021-06-30;49686002.86
FI;00.813.342/0001-20;SANTANDER RF REFERENCIADO DI MAIS 2 FIC FI;2021-06-30;1044247468.98
FI;00.817.201/0001-86;ITAÚ RENDA FIXA PLUS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2021-06-30;18438369.76
FI;00.817.677/0001-17;WESTERN ASSET ALPHA CREDIT RENDA FIXA FUNDO DE INVESTIMENTO CRÉDITO PRIVADO;2021-06-30;310015152.56
FI;00.819.855/0001-49;WESTERN ASSET CÂMBIO DOLAR SILVER FICFI CAMBIAL;2021-06-30;2193212.95
FI;00.819.858/0001-82;WESTERN ASSET RF ATIVO SILVER FIC FI RENDA FIXA;2021-06-30;1675267.79
FI;00.819.875/0001-10;WESTERN ASSET DI RENDA FIXA REFERENCIADO FI;2021-06-30;232601899.67
FI;00.819.880/0001-22;WESTERN ASSET CÂMBIO DOLAR PRIME FICFI CAMBIAL;2021-06-30;32025073.94
FI;00.819.889/0001-33;WESTERN ASSET HEDGE DÓLAR FUNDO DE INVESTIMENTO CAMBIAL;2021-06-30;89377012.11
FI;00.819.901/0001-00;WESTERN ASSET DI SILVER FIC FI RENDA FIXA REFERENCIADO;2021-06-30;5468585.48
FI;00.819.915/0001-23;WESTERN ASSET DI EXCELLENT FICFI RENDA FIXA REFERENCIADO;2021-06-30;146785521.88
FI;00.819.929/0001-47;WESTERN ASSET DI PLUS FICFI RENDA FIXA REFERENCIADO;2021-06-30;15966057.59
FI;00.822.055/0001-87;BB RF IV FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO;2021-06-30;77725104387.96
FI;00.822.059/0001-65;BB AÇÕES IBOVESPA ATIVO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2021-06-30;226225473.46
FI;00.822.933/0001-64;ITAÚ B RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2021-06-30;18808802.91
FI;00.822.954/0001-80;ITAÚ B CAMBIAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2021-06-30;368194063.04
FI;00.824.198/0001-28;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA REFERENCIADO DI FEDERAL;2021-06-30;95058059.76
FI;00.825.076/0001-56;PRATICBEC FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO;2021-06-30;983529.08
FI;00.825.077/0001-09;BECMAXI - FUNDO DE INVESTIMENTO RENDA FIXA;2021-06-30;6238252.12
FI;00.826.386/0001-95;ITAÚ BASIS OPEN RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2021-06-30;982421.96
FI;00.826.901/0001-37;CSHG DI FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA REFERENCIADO;2021-06-30;33909710.71
FI;00.826.903/0001-26;CSHG TOP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2021-06-30;339400967.67
FI;00.826.907/0001-04;ITAÚ MEDIUM TERM CAPITAL FIX RENDA FIXA REFERENCIADO DI FDO DE INVESTO EM COTAS DE FDOS DE INVEST;2021-06-30;36357352.23
FI;00.826.911/0001-72;GOLDEN DI - RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2021-06-30;8106350.60
FI;00.828.035/0001-13;FATOR MAX CORPORATIVO FUNDO DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO;2021-06-30;168373592.34
FI;00.828.941/0001-18;ITAU ADVANTAGE RENDA FIXA REFERENCIADO DI FICFI;2021-06-30;3777281.00
FI;00.829.163/0001-81;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO MULTIPERFORMANCE;2021-06-30;8743991.98
FI;00.829.280/0001-45;ITAÚ RENDA FIXA - FUNDO DE INVESTIMENTO;2021-06-30;3470316420.49
FI;00.829.282/0001-34;ITAÚ EMPRESA RENDA FIXA REFERENCIADO DI - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2021-06-30;31495965.83
FI;00.829.288/0001-01;ITAÚ PRIVATE RENDA FIXA REFERENCIADO DI EXCLUSIVE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVEST;2021-06-30;2943098265.20
FI;00.829.292/0001-70;ITAÚ CORP RENDA FIXA REFERENCIADO DI - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2021-06-30;729674160.81
FI;00.829.364/0001-89;BB NOSSA CAIXA RENDA FIXA LP PRINCIPAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2021-06-30;178492224.17
FI;00.832.407/0001-85;ITAÚ FRANCÊS RENDA FIXA - FUNDO DE INVESTIMENTO;2021-06-30;7408944954.59
FI;00.832.414/0001-87;ITAÚ RENDA FIXA REFERENCIADO DI PLUS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2021-06-30;1015244253.48
FI;00.832.424/0001-12;ITAÚ PERSONNALITÉ RENDA FIXA - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2021-06-30;3618183.75
FI;00.832.431/0001-14;ITAÚ PERSONNALITÉ RENDA FIXA PLUS - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2021-06-30;39657424.25
FI;00.832.435/0001-00;ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI - FUNDO DE INVESTIMENTO;2021-06-30;1102077818.58
FI;00.832.443/0001-49;ITAÚ BBA RENDA FIXA - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2021-06-30;56845968.48
FI;00.832.445/0001-38;ITAU RENDA FIXA REFERENCIADO DI - FDO DE INVEST EM COTAS DE FDOS DE INVEST;2021-06-30;274333676.54
FI;00.832.453/0001-84;CSHG DI FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO;2021-06-30;5089096.39
