TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-06-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;32743411.16;;2021-09-28;SDL;DI1 X IAP
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-06-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;346630986.51;;2021-09-28;SDC;DI1 X DOL
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-06-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;10614331.81;;2021-09-28;SBD;SB1 X DI1
FI;04.573.108/0001-24;FUNDO DE INVESTIMENTO MULTIMERCADO BARRA VELHA II;2021-06-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;563539.92;;;SDL;DI1 X IAP
FI;05.075.861/0001-52;BB TOP EURO FUNDO DE INVESTIMENTO CAMBIAL LP;2021-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;5141795.96;;;SDE;DI1 X REU
FI;05.458.928/0001-38;FUNDO DE INVESTIMENTO RENDA FIXA SAGUARAJI PREVIDENCIARIO;2021-06-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;1437441.75;;;SDL;DI1 X IAP
FI;05.592.116/0001-80;LAWTON MULTIMERCADO EXCLUSIVO FUNDO DE INVESTIMENTO CRÉDITO PRIVADO;2021-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;40394611.34;;2021-09-28;SDC;DI1 X DOL
FI;05.592.116/0001-80;LAWTON MULTIMERCADO EXCLUSIVO FUNDO DE INVESTIMENTO CRÉDITO PRIVADO;2021-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;6114461.17;;2021-09-28;SDL;DI1 X IAP
FI;05.592.116/0001-80;LAWTON MULTIMERCADO EXCLUSIVO FUNDO DE INVESTIMENTO CRÉDITO PRIVADO;2021-06-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;5294764.93;;2021-09-28;SDL;DI1 X IAP
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;222846.08;;;SDP;DI1 X PRE
